sku,name,category,color,price,image_url
u0000000052428,可機洗針織羅紋長褲,女士裙子,深灰色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052428/main/first/561/1.jpg
u0000000053084,棉質舒適九分褲(牛仔),女士裙子,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000053084/main/first/561/1.jpg
u0000000052001,DRY休閒繭型長褲,女士裙子,黑色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052001/main/first/561/1.jpg
u0000000052300,法蘭絨長褲(格紋),女士裙子,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052300/main/first/561/1.jpg
u0000000052619,SMART 九分褲,女士裙子,白色,NT$590,https://www.uniqlo.com/tw/hmall/test/u0000000052619/main/first/561/1.jpg
u0000000018369,孕婦包腹SMART九分褲,女士裙子,黑色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000018369/main/first/561/1.jpg
u0000000051834,百褶褲裙,女士裙子,黑色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000051834/main/first/561/1.jpg
u0000000051799,棉質舒適九分褲,女士裙子,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000051799/main/first/561/1.jpg
u0000000052329,HEATTECH毛絨休閒長褲,女士裙子,白色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052329/main/first/561/1.jpg
u0000000053057,SMART 九分褲(條紋),女士裙子,黑色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000053057/main/first/561/1.jpg
u0000000053052,SMART 寬褲(條紋),女士裙子,淺灰色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000053052/main/first/561/1.jpg
u0000000052288,燈芯絨舒適九分褲,女士裙子,黑色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052288/main/first/561/1.jpg
u0000000052202,寬褲,女士裙子,黑色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052202/main/first/561/1.jpg
u0000000050135,棉質舒適九分褲(牛仔),女士裙子,白色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000050135/main/first/561/1.jpg
u0000000052381,寬褲,女士裙子,深灰色,NT$790,https://www.uniqlo.com/tw/hmall/test/u0000000052381/main/first/561/1.jpg
u0000000052172,寬襬褲裙(格紋),女士裙子,白色,NT$990,https://www.uniqlo.com/tw/hmall/test/u0000000052172/main/first/561/1.jpg
u0000000052003,繭型褲(稍長),女士裙子,白色,NT$1290,https://www.uniqlo.com/tw/hmall/test/u0000000052003/main/first/561/1.jpg
